,Values,Year,Day_of_month,Day_of_week,Prev_week,ID,date
216,0.10167065112192786,2019,31,4,0.029746672376172345,Energy,31/5/2019
217,0.17247969207182656,2019,1,5,-0.17957674859861728,Energy,1/6/2019
218,0.1447613628371398,2019,2,6,-0.21877660070837823,Energy,2/6/2019
219,0.09540134004099121,2019,3,0,-0.2606036475632081,Energy,3/6/2019
220,0.17422570136826065,2019,4,1,-0.12716693196149187,Energy,4/6/2019
221,0.2549730209434782,2019,5,2,-0.046515949843702664,Energy,5/6/2019
222,0.13371928528839794,2019,6,3,0.03138103696244521,Energy,6/6/2019
223,-0.0920030308150519,2019,7,4,0.10167065112192786,Energy,7/6/2019
224,0.006564200788111041,2019,8,5,0.17247969207182656,Energy,8/6/2019
225,0.038062007213195415,2019,9,6,0.1447613628371398,Energy,9/6/2019
226,-0.05152489419489559,2019,10,0,0.09540134004099121,Energy,10/6/2019
227,-0.25985595461581124,2019,11,1,0.17422570136826065,Energy,11/6/2019
228,-0.15727286208380642,2019,12,2,0.2549730209434782,Energy,12/6/2019
229,-0.09324569268108407,2019,13,3,0.13371928528839794,Energy,13/6/2019
230,-0.03926081027696071,2019,14,4,-0.0920030308150519,Energy,14/6/2019
231,0.0007518171382394634,2019,15,5,0.006564200788111041,Energy,15/6/2019
232,-0.030620652092329337,2019,16,6,0.038062007213195415,Energy,16/6/2019
233,-0.07421798830614268,2019,17,0,-0.05152489419489559,Energy,17/6/2019
234,0.003967080523815891,2019,18,1,-0.25985595461581124,Energy,18/6/2019
235,0.0471484594833127,2019,19,2,-0.15727286208380642,Energy,19/6/2019
236,0.03217779128981402,2019,20,3,-0.09324569268108407,Energy,20/6/2019
237,-0.07288329813639738,2019,21,4,-0.03926081027696071,Energy,21/6/2019
238,0.016689444755954685,2019,22,5,0.0007518171382394634,Energy,22/6/2019
239,0.028423535408886647,2019,23,6,-0.030620652092329337,Energy,23/6/2019
240,-0.004385655794938437,2019,24,0,-0.07421798830614268,Energy,24/6/2019
241,0.06157509339135947,2019,25,1,0.003967080523815891,Energy,25/6/2019
242,0.12529563556247947,2019,26,2,0.0471484594833127,Energy,26/6/2019
243,0.1805649379698555,2019,27,3,0.03217779128981402,Energy,27/6/2019
244,0.075255305535185,2019,28,4,-0.07288329813639738,Energy,28/6/2019
245,-0.0031767710451950926,2019,17,2,0.016689444755954685,Energy,17/7/2019
246,-0.21681874010629665,2019,18,3,0.028423535408886647,Energy,18/7/2019
247,-0.17116287289376597,2019,19,4,-0.004385655794938437,Energy,19/7/2019
248,-0.10489758889901557,2019,20,5,0.06157509339135947,Energy,20/7/2019
249,-0.11591775511824443,2019,21,6,0.12529563556247947,Energy,21/7/2019
250,-0.14013914086388812,2019,22,0,0.1805649379698555,Energy,22/7/2019
251,-0.2538644584462366,2019,23,1,0.075255305535185,Energy,23/7/2019
252,-0.16553569725790318,2019,24,2,-0.0031767710451950926,Energy,24/7/2019
253,-0.12006895430090347,2019,25,3,-0.21681874010629665,Energy,25/7/2019
254,-0.08810431794612983,2019,26,4,-0.17116287289376597,Energy,26/7/2019
255,-0.08338704353647586,2019,27,5,-0.10489758889901557,Energy,27/7/2019
256,-0.26666941060663163,2019,28,6,-0.11591775511824443,Energy,28/7/2019
257,-0.3051545869155654,2019,29,0,-0.14013914086388812,Energy,29/7/2019
258,-0.24680958382757767,2019,30,1,-0.2538644584462366,Energy,30/7/2019
259,-0.22135509380652696,2019,31,2,-0.16553569725790318,Energy,31/7/2019
260,-0.1877185137880315,2019,1,3,-0.12006895430090347,Energy,1/8/2019
261,-0.14960771423202246,2019,2,4,-0.08810431794612983,Energy,2/8/2019
262,-0.13255673822064917,2019,3,5,-0.08338704353647586,Energy,3/8/2019
263,-0.19043876429456752,2019,4,6,-0.26666941060663163,Energy,4/8/2019
264,-0.2584859048362995,2019,5,0,-0.3051545869155654,Energy,5/8/2019
265,-0.21501769359758827,2019,6,1,-0.24680958382757767,Energy,6/8/2019
266,-0.16413512458252555,2019,7,2,-0.22135509380652696,Energy,7/8/2019
267,-0.10783342371382965,2019,8,3,-0.1877185137880315,Energy,8/8/2019
268,-0.05254258153287372,2019,9,4,-0.14960771423202246,Energy,9/8/2019
269,-0.00041544645980939876,2019,10,5,-0.13255673822064917,Energy,10/8/2019
270,0.004235012220683565,2019,11,6,-0.19043876429456752,Energy,11/8/2019
271,-0.027588386315489544,2019,12,0,-0.2584859048362995,Energy,12/8/2019
272,-0.05146663408929841,2019,13,1,-0.21501769359758827,Energy,13/8/2019
273,0.010712045328388431,2019,14,2,-0.16413512458252555,Energy,14/8/2019
274,0.06651395897696677,2019,15,3,-0.10783342371382965,Energy,15/8/2019
275,0.031686129932063434,2019,16,4,-0.05254258153287372,Energy,16/8/2019
276,0.07187203926705799,2019,17,5,-0.00041544645980939876,Energy,17/8/2019
277,0.06549808582613181,2019,18,6,0.004235012220683565,Energy,18/8/2019
278,0.014345225514796223,2019,19,0,-0.027588386315489544,Energy,19/8/2019
279,0.06741508930032802,2019,20,1,-0.05146663408929841,Energy,20/8/2019
280,0.14490183485638353,2019,21,2,0.010712045328388431,Energy,21/8/2019
281,0.19469250993026943,2019,22,3,0.06651395897696677,Energy,22/8/2019
282,0.22733250666007931,2019,23,4,0.031686129932063434,Energy,23/8/2019
283,0.26316771503155145,2019,24,5,0.07187203926705799,Energy,24/8/2019
284,0.2575568442554559,2019,25,6,0.06549808582613181,Energy,25/8/2019
285,0.19703146157835283,2019,26,0,0.014345225514796223,Energy,26/8/2019
